GENDER,AGE_GRP,INCOME,TRAVEL_STATUS_RESIDENCE,TRAVEL_STATUS_DESTINATION,MVMN,WEEKEND_INCLUDED,SEASON,TOTAL_COST,TRAVEL_COMPANIONS_NUM,TRAVEL_DAY,TOTAL_AMT,TOTAL_LODGE,TOTAL_MVMN,lat_start,lon_start,lat_dest,lon_dest
남,20,1,강원,강원,대중교통 등,1,가을,169590.0,1.0,3.0,93300.0,72990.0,3300.0,37.8853257858209,127.729829010354,37.8853257858209,127.729829010354
남,20,1,강원,경기,대중교통 등,1,여름,379750.0,3.0,3.0,207900.0,170000.0,1850.0,37.8853257858209,127.729829010354,37.2749769872425,127.00892996953
남,20,1,강원,서울,대중교통 등,0,가을,51950.0,0.0,2.0,37000.0,0.0,14950.0,37.8853257858209,127.729829010354,37.566826004661,126.978652258309
남,20,1,강원,서울,대중교통 등,0,여름,130020.0,0.0,3.0,74800.0,0.0,55220.0,37.8853257858209,127.729829010354,37.566826004661,126.978652258309
남,20,1,경기,강원,렌탈,0,여름,725350.0,1.0,4.0,189050.0,134900.0,401400.0,37.2749769872425,127.00892996953,37.8853257858209,127.729829010354
남,20,1,경기,강원,렌탈,1,여름,515340.0,1.0,3.0,276040.0,85500.0,153800.0,37.2749769872425,127.00892996953,37.8853257858209,127.729829010354
남,20,1,경기,강원,자가용,0,여름,327125.0,1.0,4.0,127900.0,111000.0,88225.0,37.2749769872425,127.00892996953,37.8853257858209,127.729829010354
남,20,1,경기,강원,자가용,1,가을,453295.0,1.0,4.0,81000.0,297295.0,75000.0,37.2749769872425,127.00892996953,37.8853257858209,127.729829010354
남,20,1,경기,강원,자가용,1,여름,547300.0,4.0,3.0,297800.0,215000.0,34500.0,37.2749769872425,127.00892996953,37.8853257858209,127.729829010354
남,20,1,경기,경기,대중교통 등,1,가을,108626.666666667,0.533333333333333,2.66666666666667,84740.0,12000.0,11886.6666666667,37.2749769872425,127.00892996953,37.2749769872425,127.00892996953
남,20,1,경기,경기,렌탈,0,가을,76000.0,1.0,2.0,51000.0,0.0,25000.0,37.2749769872425,127.00892996953,37.2749769872425,127.00892996953
남,20,1,경기,경기,자가용,1,가을,49000.0,0.0,2.0,14000.0,0.0,35000.0,37.2749769872425,127.00892996953,37.2749769872425,127.00892996953
남,20,1,경기,경남,자가용,1,가을,154900.0,1.0,2.0,19000.0,0.0,135900.0,37.2749769872425,127.00892996953,35.2377742104522,128.69189688916
남,20,1,경기,경북,렌탈,1,가을,341700.0,1.0,3.0,144000.0,0.0,197700.0,37.2749769872425,127.00892996953,36.5759962255808,128.505799255401
남,20,1,경기,대전,대중교통 등,1,가을,115860.0,0.0,2.6,36340.0,0.0,79520.0,37.2749769872425,127.00892996953,36.3505388992836,127.38483484675
남,20,1,경기,대전,자가용,1,여름,192500.0,1.0,3.0,79500.0,63000.0,50000.0,37.2749769872425,127.00892996953,36.3505388992836,127.38483484675
남,20,1,경기,부산,대중교통 등,1,가을,149960.0,0.0,3.0,73360.0,0.0,76600.0,37.2749769872425,127.00892996953,35.1798200522868,129.075087492149
남,20,1,경기,부산,대중교통 등,1,여름,210500.0,1.0,3.0,48000.0,90000.0,72500.0,37.2749769872425,127.00892996953,35.1798200522868,129.075087492149
남,20,1,경기,서울,대중교통 등,0,가을,125743.75,0.9375,2.9375,117043.75,0.0,8700.0,37.2749769872425,127.00892996953,37.566826004661,126.978652258309
남,20,1,경기,서울,대중교통 등,1,가을,168208.333333333,0.291666666666667,2.33333333333333,41662.5,83333.3333333333,43212.5,37.2749769872425,127.00892996953,37.566826004661,126.978652258309
남,20,1,경기,서울,렌탈,0,가을,24590.0,0.0,2.0,14390.0,0.0,10200.0,37.2749769872425,127.00892996953,37.566826004661,126.978652258309
남,20,1,경기,서울,자가용,1,가을,60150.0,1.0,2.0,31500.0,0.0,28650.0,37.2749769872425,127.00892996953,37.566826004661,126.978652258309
남,20,1,경기,인천,대중교통 등,0,가을,52291.0,0.0,3.0,19500.0,28541.0,4250.0,37.2749769872425,127.00892996953,37.4560044656444,126.705258070068
남,20,1,경기,인천,자가용,1,여름,727293.0,4.0,3.0,534450.0,142843.0,50000.0,37.2749769872425,127.00892996953,37.4560044656444,126.705258070068
남,20,1,경기,전남,대중교통 등,1,여름,405200.0,0.0,3.0,212200.0,0.0,193000.0,37.2749769872425,127.00892996953,34.8160821478848,126.462788333376
남,20,1,경기,전북,대중교통 등,1,가을,351233.0,1.0,3.0,195800.0,149033.0,6400.0,37.2749769872425,127.00892996953,35.8201963639272,127.108976712011
남,20,1,경기,제주,대중교통 등,1,가을,156776.666666667,0.0,5.46666666666667,60000.0,23133.3333333333,73643.3333333333,37.2749769872425,127.00892996953,33.4889179032603,126.498229141199
남,20,1,경기,제주,대중교통 등,1,여름,1094406.47727273,1.0,5.0,421877.840909091,292272.727272727,380255.909090909,37.2749769872425,127.00892996953,33.4889179032603,126.498229141199
남,20,1,경기,제주,렌탈,1,가을,619591.486486487,0.858108108108108,5.52027027027027,282452.027027027,168297.567567568,168841.891891892,37.2749769872425,127.00892996953,33.4889179032603,126.498229141199
남,20,1,경기,제주,렌탈,1,여름,2064694.0,4.0,6.0,978044.0,342900.0,743750.0,37.2749769872425,127.00892996953,33.4889179032603,126.498229141199
남,20,1,경기,충남,대중교통 등,1,가을,31900.0,0.0,2.0,23900.0,0.0,8000.0,37.2749769872425,127.00892996953,36.6588292532864,126.672776193822
남,20,1,경기,충남,렌탈,1,가을,306180.0,1.0,3.0,91500.0,65000.0,149680.0,37.2749769872425,127.00892996953,36.6588292532864,126.672776193822
남,20,1,경기,충남,자가용,1,가을,77800.0,1.0,2.0,60500.0,0.0,17300.0,37.2749769872425,127.00892996953,36.6588292532864,126.672776193822
남,20,1,경기,충북,대중교통 등,1,가을,145750.0,0.0,2.0,118300.0,0.0,27450.0,37.2749769872425,127.00892996953,36.6353581959954,127.491457326501
남,20,1,경남,경남,대중교통 등,1,가을,70600.0,1.0,2.0,30300.0,0.0,40300.0,35.2377742104522,128.69189688916,35.2377742104522,128.69189688916
